ID,First Author,Year, Location,Input Body Part,Gesture,Sensing_PANEL_Sensors,Sensing_PANEL_No Additional Sensing,Interaction_PANEL_Number of Selected Gestures,Interaction_PANEL_Resolution,Interaction_PANEL_Hands-Free,Interaction_PANEL_Eyes-Free,Interaction_PANEL_Possible on One Ear,Interaction_PANEL_Adaptation of the Interaction Detection Algorithm to the Individual User,Interaction_PANEL_Discreetness of Interaction Techniques,Interaction_PANEL_Social Acceptability of Interaction Techniques,Interaction_PANEL_Accuracy of Interaction Recognition,Interaction_PANEL_Robustness of Interaction Detection,Study_PANEL_Elicitation Study,Study_PANEL_Usability Evaluations,Study_PANEL_Cognitive Ease Evaluations,Study_PANEL_Discreetness of Interactions Evaluations,Study_PANEL_Social Acceptability of Interactions Evaluations,Study_PANEL_Accuracy of Interactions Evaluations,Study_PANEL_Alternative Interaction Validity Evaluations,Study_PANEL_Evaluation of Different Conditions,Study_PANEL_Evaluation of Different Settings,Device_PANEL_Earphone Type,Device_PANEL_Development Stage,Device_PANEL_Real-Time Processing,Device_PANEL_On-Device Processing,Applications_PANEL_Intended Applications,Keywords,Abstract,Study Link
11,Manabe & Fukumoto,2011,Ear and Earable,Hand,Tap (Earable),Speaker,Yes,2,Semantic,No,Yes,Yes,Yes,Medium,High,High (N=6),Medium (N=6),No,No,No,No,No,Yes (N=6),No,"Head Movement, Jumping, Sitting, Walking, Walking Stairs",Lab,"Earbud, Headphone",Research Prototype,Yes,No,"Device Control, Music Player","Headphones, Input Device, Tap, Wearable","A tap control technique for headphones is proposed. A simple circuit is used to detect tapping of the headphone shell by using the speaker unit in the headphone as a tap sensor. No additional devices are required in the headphone shell and cable, so the user can use their favorite headphones as a controller while listening music. A prototype is implemented with several calibration processes to compensate the differences in headphones and users' tapping actions. Tests confirm that the user can control a music player by tapping regular headphones.",https://doi.org/10.1145/2047196.2047236
12,Matsumura & Fukumoto,2012,Ear and Earable,Wearable State,"Share (Earable), Wear (Earable)","EMG, Proximity Sensor",Yes,2,Semantic,Yes,Yes,No,No,High,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,"Earbud, Headphone",Research Prototype,Yes,Yes,Music Player,"Earphones, Implicit Interaction, Intelligent Interface","We present universal earphones that use both a proximity sensor and a skin conductance sensor and we demonstrate several implicit interaction techniques they achieve by automatically detecting the context of use. The universal earphones have two main features. The first involves detecting the left and right sides of ears, which provides audio to either ear, and the second involves detecting the shared use of earphones and this provides mixed stereo sound to both earphones. These features not merely free users from having to check the left and right sides of earphones, but they enable them to enjoy sharing stereo audio with other people.",https://dl.acm.org/doi/abs/10.1145/2166966.2167025
13,Sano et al.,2010,Face,Facial Expression,Smile,EMG,Yes,1,Semantic,Yes,Yes,Yes,No,Low,Medium,Low (N=3),N/A,No,No,No,No,No,Yes (N=3),No,Sitting,Lab,Earbud,Research Prototype,No,No,"Communication, Data Annotation, Music Player","Accelometer, Elecromyogram, Photoplethysmographm, Pulse Sensor, Wearable Sensor","We propose novel ways of interactions using biosignals. We developed a prototype earphone with three kinds of biosignal sensors: pulse wave, electromyogram (EMG) and acceleration sensors. Using this sensor system, we implemented three new applications - automatic music selection, tactile and visual communication and automatic metadata annotation. We also present results of preliminary subjective and objective evaluations.",https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=194115d845f69c4ad23430dacc278f99e0cd5dcd
14,Tessendorf and Derleth,2012,Ear and Earable,Hand,Press (Earable),Button,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,Yes (N=21),Yes (N=21),No,Yes (N=21),No,No,"Head Movement, Jumping, Walking, Walking Stairs",Lab,Custom Device,Research Prototype,Yes,Yes,"Accessibility, Data Annotation",N/A,"In this work we present a newly developed earworn sensing and annotation device to unobtrusively capture head movements in real life situations. It has been designed in the context of developing multimodal hearing instruments (HIs), but is not limited to this application domain. The ear-worn device captures triaxial acceleration, rate of turn and magnetic field and features a one-button-approach for real-time data annotation through the user. The system runtime is over 5 hours at a sampling rate of 128 Hz. In a user study with 21 participants the device was perceived as comfortable and showed a robust hold at the ear. On the example of head acceleration data we perform unsupervised clustering to demonstrate the benefit of head movements for multimodal HIs. We believe the novel technology will help to push the boundaries of HI technology.",https://ieeexplore.ieee.org/abstract/document/6346464
15,Akiyama et al.,2013,Actuation,N/A,Thermal (Actuaction),N/A,N/A,1,Fine,Yes,Yes,No,N/A,High,High,N/A,N/A,No,Yes (N=8),No,No,No,No,No,Sitting,Lab,Headphone,Research Prototype,N/A,N/A,"AR/VR, Music Player","Cross-Modal Interface, Musical Interface, Thermal Display","This report proposes a thermal media system, ThermOn, which enables users to feel dynamic hot and cold sensations on their body corresponding to the sound of music. Thermal sense plays a significant role in the human recognition of environments and influences human emotions. By employing thermal sense in the music experience, which also greatly affects human emotions, we have successfully created a new medium with an unprecedented emotional experience. With ThermOn, a user feels enhanced excitement and comfort, among other responses. For the initial prototype, headphone-type interfaces were implemented using a Peltier device, which allows users to feel thermal stimuli on their ears. Along with the hardware, a thermal-stimulation model that takes into consideration the characteristics of human thermal perception was designed. The prototype device was verified using two methods: the psychophysical method, which measures the skin potential response and the psychometric method using a Likert-scale questionnaire and open-ended interviews. The experimental results suggest that ThermOn (a) changes the impression of music, (b) provides comfortable feelings, and (c) alters the listener’s ability to concentrate on music in the case of a rock song. Moreover, these effects were shown to change based on the methods with which thermal stimuli were added to music (such as temporal correspondence) and on the type of stimuli (warming or cooling). From these results, we have concluded that the ThermOn system has the potential to enhance the emotional experience when listening to music.",https://dl.acm.org/doi/abs/10.1145/2493988.2494326
16,Manabe et al.,2013,Eye-Tracking,Eye,Vertical Gaze,EOG,Yes,2,Semantic,Yes,No,No,No,Medium,Medium,N/A,N/A,No,Yes (N=6),No,No,No,No,Yes (N=6),Sitting,Lab,Earbud,Research Prototype,No,No,"Accessibility, Music Player","Conductive Rubber, EOG, Earphone, Electrode, Eye Gesture","An eartip made of conductive rubber that also realizes biopotential electrodes is proposed for a daily-use earphonebased eye gesture input interface. Several prototypes, each with three electrodes to capture Electrooculogram (EOG), are implemented on earphones and examined. Experiments with one subject over a 10 day period reveal that all prototypes capture EOG similarly but they differ as regards stability of the baseline and the presence of motion artifacts. Another experiment conducted on a simple eye-controlled application with six subjects shows that the proposed prototype minimizes motion artifacts and offers good performance. We conclude that conductive rubber with mixed Ag filler is the most suitable setup for daily-use.",http://dx.doi.org/10.1145/2493988.2494329
17,Lissermann et al.,2014,Ear and Earable,Hand,Touch (Ear),Capacitive Sensor,Yes,1,Coarse,No,Yes,Yes,No,Medium,High,N/A,N/A,Yes (N=27),No,No,No,No,No,No,"Music, Sitting",Lab,Custom Device,Research Prototype,Yes,No,"Device Control, Gaming, Music Player","Device Augmentation, Ear-Based Interaction, Ear-Worn, Eyes-Free, Mobile Interaction, Multi-Touch, Touch","One of the pervasive challenges in mobile interaction is  decreasing the visual demand of interfaces towards eyes-free  interaction. In this paper, we focus on the unique affordances  of the human ear to support one-handed and eyes-free mobile  interaction. We present EarPut, a novel interface concept and  hardware prototype, which unobtrusively augments a variety  of accessories that are worn behind the ear (e.g. headsets  or glasses) to instrument the human ear as an interactive  surface. The contribution of this paper is three-fold. We  contribute (i) results from a controlled experiment with 27  participants, providing empirical evidence that people are  able to target salient regions on their ear effectively and  precisely, (ii) a first, systematically derived design space  for ear-based interaction and (iii) a set of proof of concept  EarPut applications that leverage on the design space and  embrace mobile media navigation, mobile gaming and smart  home interaction.",https://dl.acm.org/doi/10.1145/2686612.2686655
18,Sahni et al.,2014,Mouth,Speech Apparatus,Silent Speech (Words),"Magnetometer, Proximity Sensor",No,11,Semantic,Yes,Yes,No,No,High,High,High (N=6),N/A,No,No,No,No,No,Yes (N=6),No,Sitting,Lab,Custom Device,Research Prototype,No,No,"Accessibility, Device Input, Silent Speech","Mobile Interfaces, Silent Speech Recognition, Wearable Computing","We address the problem of performing silent speech recognition where vocalized audio is not available (e.g. due to a user’s medical condition) or is highly noisy (e.g. during firefighting or combat). We describe our wearable system to capture tongue and jaw movements during silent speech. The system has two components: the Tongue Magnet Interface (TMI), which utilizes the 3-axis magnetometer aboard Google Glass to measure the movement of a small magnet glued to the user’s tongue, and the Outer Ear Interface (OEI), which measures the deformation in the ear canal caused by jaw movements using proximity sensors embedded in a set of earmolds. We collected a data set of 1901 utterances of 11 distinct phrases silently mouthed by six able-bodied participants. Recognition relies on using hidden Markov modelbased techniques to select one of the 11 phrases. We present encouraging results for user dependent recognition.",https://dl.acm.org/doi/10.1145/2634317.2634322
19,Bedri et al.,2015,Mouth,Jaw,General Jaw Movement,Proximity Sensor,Yes,1,Fine,Yes,Yes,Yes,No,Medium,Medium,N/A,N/A,No,Yes (N=27),No,No,No,No,No,"Eating, Sitting, Speaking, Walking, Walking Stairs",Lab,Earbud,Research Prototype,No,No,"Activity Recognition, Silent Speech","Food Intake, Jaw Gestures, Jaw Motion, Outer Ear, Proximity Sensor, Silent Speech","The human ear seems to be a rigid anatomical part with no apparent activity, yet many facial and body activity can be measured from it. Research apparatuses and commercial products have demonstrated the capability of monitoring hart rate, tongue activities, jaw motion and eye blinking from the ear. In this paper we describe the design and the implementation of the Outer Ear Interface (OEI) which utilizes a set of infrared proximity sensors to measure the deformation in the ear canal caused by the lower jaw movement. OEI has been used in different applications that requires tracking of jaw activity which includes silent speech recognition, jaw gesture detection and food intake monitoring.",https://dl.acm.org/doi/10.1145/2800835.2807933
20,Bleichner et al.,2015,"Brain, Eye-Tracking",Eye,"Horizontal Gaze, Vertical Gaze",EEG,Yes,2,Coarse,Yes,No,Yes,No,Medium,Medium,High (N=12),N/A,No,No,No,No,No,Yes (N=12),No,Sitting,Lab,Custom Device,Research Prototype,Yes,No,Bci-Application,"Ear EEG, Miniaturized, P300 Speller, Ton-Electrodes","Electroencephalography (EEG) allows the study of the brain–behavior relationship in humans. Most of what we have learned with EEG was through observing the brain–behavior relationship under well-controlled laboratory conditions. However, by reducing “normal” behavior to a minimum the ecological validity of the results can be limited. Recent developments toward mobile EEG solutions allow to study the brain–behavior relationship outside the laboratory in more natural situations. Besides mobility and robustness with respect to motion, mobile EEG systems should also interfere as little as possible with the participant’s behavior. For example, natural interaction with other people could be hindered when it is obvious that a participant wears an EEG cap. This study evaluates the signal quality obtained with an unobtrusive solution for EEG monitoring through the integration of miniaturized EEG ton-electrodes into both a discreet baseball cap and an individualized ear piece. We show that such mini electrodes located at scalp and ear locations can reliably record event related potentials in a P300 brain–computer–interface application.",https://physoc.onlinelibrary.wiley.com/doi/full/10.14814/phy2.12362
21,Norton et al.,2015,"Brain, Eye-Tracking",Eye,"Horizontal Gaze, Vertical Gaze",EEG,Yes,2,Coarse,Yes,No,Yes,No,Medium,Medium,High (N=3),N/A,No,No,No,No,No,Yes (N=3),No,Sitting,Lab,Custom Device,Research Prototype,Yes,No,Bci-Application,"Auricle Integration, Brain–Computer Interface, Soft Electronics, Text Speller","Recent advances in electrodes for noninvasive recording of electroencephalograms expand opportunities collecting such data for diagnosis of neurological disorders and brain–computer interfaces. Existing technologies, however, cannot be used effectively in continuous, uninterrupted modes for more than a few days due to irritation and irreversible degradation in the electrical and mechanical properties of the skin interface. Here we introduce a soft, foldable collection of electrodes in open, fractal mesh geometries that can mount directly and chronically on the complex surface topology of the auricle and the mastoid, to provide highfidelity and long-term capture of electroencephalograms in ways that avoid any significant thermal, electrical, or mechanical loading of the skin. Experimental and computational studies establish the fundamental aspects of the bending and stretching mechanics that enable this type of intimate integration on the highly irregular and textured surfaces of the auricle. Cell level tests and thermal imaging studies establish the biocompatibility and wearability of such systems, with examples of high-quality measurements over periods of 2 wk with devices that remain mounted throughout daily activities including vigorous exercise, swimming, sleeping, and bathing. Demonstrations include a text speller with a steadystate visually evoked potential-based brain–computer interface and elicitation of an event-related potential (P300 wave).",https://www.pnas.org/doi/full/10.1073/pnas.1424875112
22,Wang et al.,2015,"Brain, Eye-Tracking",Eye,"Horizontal Gaze, Vertical Gaze",EEG,Yes,2,Coarse,Yes,No,No,No,Medium,Medium,Medium (N=4),N/A,No,No,No,No,No,Yes (N=4),No,Sitting,Lab,Earbud,Research Prototype,No,No,"Bci-Application, Device Control",N/A,"The purpose of this study is to demonstrate an online steady-state visual evoked potential (SSVEP)-based BCI system using EarEEG. EarEEG is a novel recording concept where electrodes are embedded on the surface of earpieces customized to the individual anatomical shape of users’ ear. It has been shown that the EarEEG can be used to record SSVEPs in previous studies. However, a long distance between the visual cortex and the ear makes the signal-to-noise ratio (SNR) of SSVEPs acquired by the EarEEG relatively low. Recently, filter bank- and training data-based canonical correlation analysis algorithms have shown significant performance improvement in terms of accuracy of target detection and information transfer rate (ITR). This study implemented an online four-class SSVEPbased BCI system using EarEEG. Four subjects participated in offline and online BCI experiments. For the offline classification, an average accuracy of 82.71±11.83 % was obtained using 4 seclong SSVEPs acquired from earpieces. In the online experiment, all subjects successfully completed the tasks with an average accuracy of 87.92±12.10 %, leading to an average ITR of 16.60±6.55 bits/min. The results suggest that EarEEG can be used to perform practical BCI applications. The EarEEG has the potential to be used as a portable EEG recordings platform, that could enable real-world BCI applications.",https://ieeexplore.ieee.org/abstract/document/7318845
23,Weigel et al.,2015,Ear and Earable,Hand,Touch (Earable),"Capacitive Sensor, Resistive Sensor",Yes,1,"Coarse, Semantic",No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,Custom Device,Research Prototype,Yes,No,"Device Input, Music Player","Electronic Skin, Flexible Sensor, Mobile Computing, On-Body Input, Stretchable Sensor, Touch Input, Wearable Computing","We propose iSkin, a novel class of skin-worn sensors for touch input on the body. iSkin is a very thin sensor overlay, made of biocompatible materials, and is flexible and stretchable. It can be produced in different shapes and sizes to suit various locations of the body such as the finger, forearm, or ear. Integrating capacitive and resistive touch sensing, the sensor is capable of detecting touch input with two levels of pressure, even when stretched by 30% or when bent with a radius of 0.5 cm. Furthermore, iSkin supports single or multiple touch areas of custom shape and arrangement, as well as more complex widgets, such as sliders and click wheels. Recognizing the social importance of skin, we show visual design patterns to customize functional touch sensors and allow for a visually aesthetic appearance. Taken together, these contributions enable new types of on-body devices. This includes finger-worn devices, extensions to conventional wearable devices, and touch input stickers, all fostering direct, quick, and discreet input for mobile computing.",https://dl.acm.org/doi/10.1145/2702123.2702391
24,Ashbrook et al.,2016,Mouth,Teeth,Click,Bone Conduction Microphone,Yes,5,Semantic,Yes,Yes,No,No,High,High,Low (N=20),Medium (N=20),No,No,No,No,No,Yes (N=20),No,"Head Movement, Sitting, Speaking",Lab,Custom Device,Commercial,Yes,No,"Communication, Device Control, Device Input, Music Player, Phone Calls","Audio Interfaces, Bio-Acoustics, Gestures, Subtle Interfaces, Tooth Input, Wearable Computing","We present Bitey, a subtle, wearable device for enabling input via tooth clicks. Based on a bone-conduction microphone worn just above the ears, Bitey recognizes the click sounds from up to five different pairs of teeth, allowing fully handsfree interface control. We explore the space of tooth input and show that Bitey allows for a high degree of accuracy in distinguishing between different tooth clicks, with up to 94% accuracy under laboratory conditions for five different tooth pairs. Finally, we illustrate Bitey’s potential through two demonstration applications: a list navigation and selection interface and a keyboard input method.",http://dx.doi.org/10.1145/2935334.2935389
25,Laput et al.,2016,Ear and Earable,Wearable State,"Attach Earbud, Remove Earbud","Microphone, Speaker",Yes,2,Semantic,No,Yes,Yes,No,Medium,High,High (N=12),High (N=12),No,No,No,No,No,Yes (N=12),No,Music,"Office, University Building",Earbud,Commercial,Yes,No,"Device Control, Music Player, Phone Calls","Acoustic Sensing, Interaction Techniques, Mobile Devices, Novel Input","Devices can be made more intelligent if they have the ability to sense their surroundings and physical configuration. However, adding extra, special purpose sensors increases size, price and build complexity. Instead, we use speakers and microphones already present in a wide variety of devices to open new sensing opportunities. Our technique sweeps through a range of inaudible frequencies and measures the intensity of reflected sound to deduce information about the immediate environment, chiefly the materials and geometry of proximate surfaces. We offer several example uses, two of which we implemented as self-contained demos, and conclude with an evaluation that quantifies their performance and demonstrates high accuracy.",https://dl.acm.org/doi/10.1145/2856767.2856812
26,Merrill et al.,2016,Brain,Brain Activity,Mental Gesture,EEG,Yes,5,Semantic,Yes,Yes,Yes,No,High,High,N/A,N/A,No,Yes (N=9),Yes (N=9),No,No,No,Yes (N=12),Sitting,Lab,Custom Device,Research Prototype,No,No,"Bci-Application, Device Control",N/A,"While brain-computer interfaces (BCI) based on electroencephalography (EEG) have improved dramatically over the past five years, their inconvenient, headworn form factor has challenged their wider adoption. In this paper, we investigate how EEG signals collected from the ear could be used for “gestural” control of a braincomputer interface (BCI). Specifically, we investigate the efficacy of a support vector classifier (SVC) in distinguishing between mental tasks, or gestures, recorded by a modified, consumer headset. We find that an SVC reaches acceptable BCI accuracy for nine of the subjects in our pool (n=12), and distinguishes at least one pair of gestures better than chance for all subjects. User surveys highlight the need for longer-term research on user attitudes toward in-ear EEG devices, for discreet, non-invasive BCIs.",https://ieeexplore.ieee.org/abstract/document/7516246
