,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Citation,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[253],Gamper et al.,2011,Head Gestures and Pointing,Enabling,Head,Yaw,Microphone,Yes,1,Fine,Yes,Yes,No,No,Low,Medium,N/A,N/A,No,No,No,No,No,No,Yes (N=3),Sitting,Lab,Headphone,Commercial,No,No,"To produce realistic auditory augmentation, knowledge about the head orientation of the user is often necessary. Conventional head tracking systems use e.g. cameras to track visibly distinct markers or inertial sensors to detect head movements.",,"Video Conference, AR/VR, Motion Tracking",N/A,"A head orientation tracking system using binaural headset microphones is proposed. Unlike previous approaches, the proposed method does not require anchor sources, but relies on speech signals of the wearers of the binaural headsets. From the binaural microphone signals, time of arrival (TOA) and time difference of arrival (TDOA) estimates are obtained. The tracking is performed using a particle filter integrated with a maximum likelihood estimation function. In a case study, the proposed method is used to track the head orientations of three conferees in a meeting scenario. With an accuracy of about 10 degrees, the proposed method is shown to outperform a reference method which achieves an accuracy of about 35 degrees.",11,,https://hannesgamper.com/wp-content/papercite-data/pdf/gamper2011b.pdf,DONE,,,,,,,,,,,,,,,,
[23],Manabe & Fukumoto,2011,Ear and Earable,In,Hand,Tap (Earable),Speaker,Yes,2,Semantic,No,Yes,Yes,Yes,Medium,High,High (N=6),Medium (N=6),No,No,No,No,No,Yes (N=6),No,"Sitting, Walking, Walking Stairs, Head Movement, Jumping",Lab,"Earbud, Headphone",Research Prototype,Yes,No,Headphones from input device to input-and-output device,"Expanding Interaction Methods, Enhancing Functionalities of Current Devices","Music Player, Device Control","Headphones, tap, input device, wearable","A tap control technique for headphones is proposed. A simple circuit is used to detect tapping of the headphone shell by using the speaker unit in the headphone as a tap sensor. No additional devices are required in the headphone shell and cable, so the user can use their favorite headphones as a controller while listening music. A prototype is implemented with several calibration processes to compensate the differences in headphones and users' tapping actions. Tests confirm that the user can control a music player by tapping regular headphones.",12,,https://doi.org/10.1145/2047196.2047236,DONE,,,Selection,X,X,X,2,Yes,No,Coupled,Partly Present,Not Indicated,Medium (Derived),Not Indicated,Present,54%
[85],Matsumura & Fukumoto,2012,Ear and Earable,Enabling,Wearable State,"Share (Earable), Wear (Earable)","Proximity Sensor, EMG",Yes,2,Semantic,Yes,Yes,No,No,High,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,"Earbud, Headphone",Research Prototype,Yes,Yes,Making traditional interfaces more intelligent,"Expanding Interaction Methods, Enhancing Functionalities of Current Devices",Music Player,"Earphones, implicit interaction, intelligent interface","We present universal earphones that use both a proximity sensor and a skin conductance sensor and we demonstrate several implicit interaction techniques they achieve by automatically detecting the context of use. The universal earphones have two main features. The first involves detecting the left and right sides of ears, which provides audio to either ear, and the second involves detecting the shared use of earphones and this provides mixed stereo sound to both earphones. These features not merely free users from having to check the left and right sides of earphones, but they enable them to enjoy sharing stereo audio with other people.",13,,https://dl.acm.org/doi/abs/10.1145/2166966.2167025,DONE,,,,,,,,,,,,,,,,
[62],Sano et al.,2012,Face,In,Facial Expression,Smile,EMG,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Music Player, Communication, Data Annotation",,,14,,,,,,Selection,X,X,X,,Yes,No,,,,,,,
[94],Tessendorf and Derleth,2012,Ear and Earable,In,Hand,Press (Earable),Button,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,Yes (N=21),Yes (N=21),No,Yes (N=21),No,No,"Walking, Walking Stairs, Head Movement, Jumping",Lab,Custom Device,Research Prototype,Yes,Yes,sensing and annotation device to unobtrusively capture head movements in real life situations; In this context the challenge arises to collect and annotate multimodal reference data to identify hearing situations to be improved and to train the multimodal classifier running within the HI.; unobtrusively capture head movements in real life situations; higher accuracy and saving time for the experimenter,,"Data Annotation, Accessibility",N/A,"In this work we present a newly developed earworn sensing and annotation device to unobtrusively capture head movements in real life situations. It has been designed in the context of developing multimodal hearing instruments (HIs), but is not limited to this application domain. The ear-worn device captures triaxial acceleration, rate of turn and magnetic field and features a one-button-approach for real-time data annotation through the user. The system runtime is over 5 hours at a sampling rate of 128 Hz. In a user study with 21 participants the device was perceived as comfortable and showed a robust hold at the ear. On the example of head acceleration data we perform unsupervised clustering to demonstrate the benefit of head movements for multimodal HIs. We believe the novel technology will help to push the boundaries of HI technology.",15,,https://ieeexplore.ieee.org/abstract/document/6346464,DONE,,,Position,X,X,X,1,Yes,No,X,Not Present,High (N=21),Medium (N=21),High (N=21),Not Indicated,55%
[25],Akiyama et al.,2013,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,
[20],Manabe et al.,2013,Eye-Tracking,In,Gaze,,EOG,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,Music Player,,,17,,,,,,Selection,1,coarse (3),relative,,Yes,No,,,,,,,
[1],Lissermann et al.,2014,Ear and Earable,In,Hand,Touch (Ear),Capacitive Sensor,Yes,1,Coarse,No,Yes,Yes,No,Medium,High,N/A,N/A,Yes (N=27),No,No,No,No,No,No,"Sitting, Music",Lab,Custom Device,Research Prototype,Yes,No,decreasing the visual demand of interfaces,Enabling Hands-Free and/or Eyes-Free Control,"Music Player, Device Control, Gaming","Ear-based interaction, ear-worn, mobile interaction, eyes-free, device augmentation, touch, multi-touch","One of the pervasive challenges in mobile interaction is  decreasing the visual demand of interfaces towards eyes-free  interaction. In this paper, we focus on the unique affordances  of the human ear to support one-handed and eyes-free mobile  interaction. We present EarPut, a novel interface concept and  hardware prototype, which unobtrusively augments a variety  of accessories that are worn behind the ear (e.g. headsets  or glasses) to instrument the human ear as an interactive  surface. The contribution of this paper is three-fold. We  contribute (i) results from a controlled experiment with 27  participants, providing empirical evidence that people are  able to target salient regions on their ear effectively and  precisely, (ii) a first, systematically derived design space  for ear-based interaction and (iii) a set of proof of concept  EarPut applications that leverage on the design space and  embrace mobile media navigation, mobile gaming and smart  home interaction.",18,,https://dl.acm.org/doi/10.1145/2686612.2686655,DONE,,,"Selection, Position",X,coarse (2-6),X,7,No,Yes,Coupled,Partly Present,Not Indicated,Low (Derived),Not Indicated,Not Indicated,28%
[90],Looney et al.,2014,Brain,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,
[93],Sahni et al.,2014,Mouth,In,Speech Apparatus,Silent Speech (Words),"Magnetometer, Proximity Sensor",No,11,Semantic,Yes,Yes,No,No,High,High,High (N=6),N/A,No,No,No,No,No,Yes (N=6),No,Sitting,Lab,Custom Device,Research Prototype,No,No,"We address the problem of performing silent speech recognition where vocalized audio is not available (e.g. due to a user’s medical condition) or is highly noisy (e.g. during firefighting or combat).; In contrast, silent speech recognition systems [7] , which utilize parts of the human speech production system (rather than the audio produced), can provide significant benefits for individuals rendered incapable of intelligible speech. Such a system can potentially allow issuing voice commands to computing devices or speech generation through text-to-speech interfaces without audible commands generated by the user.",,"Silent Speech, Accessibility, Device Input","silent speech recognition, wearable computing, mobile interfaces","We address the problem of performing silent speech recognition where vocalized audio is not available (e.g. due to a user’s medical condition) or is highly noisy (e.g. during firefighting or combat). We describe our wearable system to capture tongue and jaw movements during silent speech. The system has two components: the Tongue Magnet Interface (TMI), which utilizes the 3-axis magnetometer aboard Google Glass to measure the movement of a small magnet glued to the user’s tongue, and the Outer Ear Interface (OEI), which measures the deformation in the ear canal caused by jaw movements using proximity sensors embedded in a set of earmolds. We collected a data set of 1901 utterances of 11 distinct phrases silently mouthed by six able-bodied participants. Recognition relies on using hidden Markov modelbased techniques to select one of the 11 phrases. We present encouraging results for user dependent recognition.",20,,https://dl.acm.org/doi/10.1145/2634317.2634322,DONE,,,"Selection, Text",X,X,X,11,Yes,No,X,Not Present,Not Indicated,Low (Derived),Not Indicated,Present,23%
[7],Bedri et al.,2015,Mouth,Enabling,Jaw,General Jaw Movement,Proximity Sensor,Yes,1,Fine,Yes,Yes,Yes,No,Medium,Medium,N/A,N/A,No,Yes (N=27),No,No,No,No,No,"Sitting, Speaking, Eating, Walking, Walking Stairs",Lab,Earbud,Research Prototype,No,No,Researchers tried to benefit from the features that headphones and earpieces hold to develop systems that will help monitoring human activities.; The motivation behind OEI was the ability to perform silent speech recognition by classifying motion patterns made by the tongue and lower jaw; Socially acceptable.  2. Comfortable of use for extended periods of time.  3. Non-intrusive (no persing or implantation).  4. Ease of donning and disrobing.,,"Silent Speech, Activity Recognition","Outer ear, jaw motion, proximity sensor, silent speech, food intake, jaw gestures","The human ear seems to be a rigid anatomical part with no apparent activity, yet many facial and body activity can be measured from it. Research apparatuses and commercial products have demonstrated the capability of monitoring hart rate, tongue activities, jaw motion and eye blinking from the ear. In this paper we describe the design and the implementation of the Outer Ear Interface (OEI) which utilizes a set of infrared proximity sensors to measure the deformation in the ear canal caused by the lower jaw movement. OEI has been used in different applications that requires tracking of jaw activity which includes silent speech recognition, jaw gesture detection and food intake monitoring.",21,,https://dl.acm.org/doi/10.1145/2800835.2807933,DONE,,,,,,,,,,,,,,,,
[190],Bleichner et al.,2015,Brain,In,Brain Activity,,EEG,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI Applic.,,,22,,,,,,,,,,,,,,,,,,,
[92],Norton et al.,2015,Brain,In,Brain Activity,,EEG,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI Applic.,,,23,,,,,,,,,,,,,,,,,,,
[188],Wang et al.,2015,Brain,In,Brain Activity,,EEG,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI Applic.,,,24,,,,,,,,,,,,,,,,,,,
[19],Weigel et al.,2015,Ear and Earable,Enabling,Hand,Touch (Earable),"Capacitive Sensor, Resistive Sensor",Yes,1,"Semantic, Coarse",No,Yes,Yes,No,Medium,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,Custom Device,Research Prototype,Yes,No,"The human skin is recognized as a promising input surface for interactions with mobile and wearable devices. However, it has been difficult to design and implement touch sensors that can be placed directly on the skin. We present iSkin, an input surface for mobile human-computer interaction on the human body.",Expanding Interaction Methods,"Device Input, Music Player","On-body input, Mobile computing, Wearable computing, Touch input, Stretchable Sensor, flexible sensor, Electronic skin","We propose iSkin, a novel class of skin-worn sensors for touch input on the body. iSkin is a very thin sensor overlay, made of biocompatible materials, and is flexible and stretchable. It can be produced in different shapes and sizes to suit various locations of the body such as the finger, forearm, or ear. Integrating capacitive and resistive touch sensing, the sensor is capable of detecting touch input with two levels of pressure, even when stretched by 30% or when bent with a radius of 0.5 cm. Furthermore, iSkin supports single or multiple touch areas of custom shape and arrangement, as well as more complex widgets, such as sliders and click wheels. Recognizing the social importance of skin, we show visual design patterns to customize functional touch sensors and allow for a visually aesthetic appearance. Taken together, these contributions enable new types of on-body devices. This includes finger-worn devices, extensions to conventional wearable devices, and touch input stickers, all fostering direct, quick, and discreet input for mobile computing.",25,,https://dl.acm.org/doi/10.1145/2702123.2702391,DONE,,,"Selection, Position, Path",2,coarse,"absolute, relative",,Yes,Yes,,Present,,,,,
[63],Ashbrook et al.,2016,Mouth,In,Teeth,Click,Bone Conduction Microphone,,,,Yes,Yes,No,,,,Medium (N=20),,,,,,,,,,,,,No,,,,"Device Control, Device Input, Music Player, Phone Calls, Communication",,,26,,,,,,Selection,X,X,X,,Yes,No,,Not Present,,Medium (Derived),,,
[234],Chen et al.,2020,"Ear and Earable, Hand Gestures and Location",Elicitation,Not Applicable,Not Applicable,Not Applicable,Not Indicated,0,Not Applicable,Not Applicable,Not Applicable,Not Indicated,Not Indicated,Not Applicable,Not Applicable,Not Indicated,Not Indicated,Yes (N=27),Yes (N=27),No,No,Yes (N=27),No,No,Sitting,Lab,Not Applicable,Not Applicable,Not Indicated,Not Indicated,"elicitation study, This paper aims to bring more understandings of gesture design.; To better understand how users’ physical- and social-comfort is impacted when interacting with smart devices via ear-based input, we conducted a user elicitation study from which results we compile a set of user-defined gestures.",,"Device Control, Device Input, Music Player, Phone Calls",Gestures; Ear-based Input; User-defined; Guessability; Think-aloud,"The human ear is highly sensitive and accessible, making it especially suitable for being used as an interface for interacting with smart earpieces or augmented glasses. However, previous works on ear-based input mainly address gesture sensing technology and researcher-designed gestures. This paper aims to bring more understandings of gesture design. Thus, for a user elicitation study, we recruited 28 participants, each of whom designed gestures for 31 smart device-related tasks. This resulted in a total of 868 gestures generated. Upon the basis of these gestures, we compiled a taxonomy and concluded the considerations underlying the participants’ designs that also offer insights into their design rationales and preferences. Thereafter, based on these study results, we propose a set of user-defined gestures and share interesting findings. We hope this work can shed some light on not only sensing technologies of ear-based input, but also the interface design of future wearable interfaces.",55,,https://dl.acm.org/doi/10.1145/3427314,DONE,,,,,,,,,,,,,,,,
[34],Laput et al.,2016,Ear and Earable,In,Wearable State,"Remove Earbud, Attach Earbud","Microphone, Speaker",Yes,2,Semantic,No,Yes,Yes,No,Medium,High,High (N=12),High (N=12),No,No,No,No,No,Yes (N=12),No,Music,"Office, University Building",Earbud,Commercial,Yes,No,We propose utilizing these ubiquitous sensors to bring novel sensing abilities to devices without extra or special hardware,,"Music Player, Phone Calls, Device Control","Acoustic sensing, mobile devices, interaction techniques, novel input","Devices can be made more intelligent if they have the ability to sense their surroundings and physical configuration. However, adding extra, special purpose sensors increases size, price and build complexity. Instead, we use speakers and microphones already present in a wide variety of devices to open new sensing opportunities. Our technique sweeps through a range of inaudible frequencies and measures the intensity of reflected sound to deduce information about the immediate environment, chiefly the materials and geometry of proximate surfaces. We offer several example uses, two of which we implemented as self-contained demos, and conclude with an evaluation that quantifies their performance and demonstrates high accuracy.",27,,https://dl.acm.org/doi/10.1145/2856767.2856812,DONE,,,Selection,X,X,X,2,Yes,No,X,Not Present,Not Indicated,High (Derived),Not Indicated,Present,54%
[69],Merrill et al.,2016,Brain,In,Brain Activity,,EEG,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI Applic.,,,28,,,,,,,,,,,,,,,,,,,
[43],Nguyen et al.,2016,Eye-Tracking,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,
[17],Ando et al.,2017,"Head Gestures and Pointing, Face",In,"Head, Jaw","Facial Gesture (Mouth), Pitch, Roll, Yaw",Pressure Sensor,Yes,11,"Semantic, Coarse",Yes,Yes,Yes (Performance Loss),No,Medium,High,High (N=12),Medium (N=6),No,No,No,No,No,Yes (N=12),No,"Sitting, Music",Lab,Earbud,Research Prototype,No,No,"However, to do this, the user usually needs to use at least one hand and look at the smartphone’s screen to take the smartphone out of the pocket and control its music player.  To address this issue, some commercial earphones have adopted sensors to allow users to operate the connected smartphone",,"Music Player, Device Control","Jaw movement, mouth movement, facial movement, head movement, barometer, hands-free, eyes-free, earphones, outer ear interface, wearable computing","We present a jaw, face, or head movement (face-related movement) recognition system called CanalSense. It recognizes face-related movements using barometers embedded in earphones. We find that face-related movements change air pressure inside the ear canals, which shows characteristic changes depending on the type and degree of the movement. We also find that such characteristic changes can be used to recognize face-related movements. We conduct an experiment to measure the accuracy of recognition. As a result, random forest shows per-user recognition accuracies of 87.6% for eleven face-related movements and 87.5% for four Open Mouth levels.",30,,https://dl.acm.org/doi/10.1145/3126594.3126649,DONE,,,"Selection, Orientation, Path",3,X,relative,11,Yes,No,X,Not Present,Not Indicated,Medium (Derived),Not Indicated,Present,36%
[70],Bleichner & Debener,2017,Eye-Tracking,Enabling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,
[206],Dim & Ren,2017,Actuation,Enabling,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,
[22],Kikuchi et al.,2017,Ear and Earable,In,Hand,Pull (Ear),Proximity Sensor,Yes,9,Semantic,No,Yes,Yes,No,Medium,Medium,Low (N=8),Medium (N=8),No,No,No,No,No,Yes (N=8),No,"Sitting, Walking",Lab,Earbud,Research Prototype,Yes,No,"It is envisioned that EarTouch will enable control of applications such as music players, navigation systems, and calendars as an “eyes-free” interface.; exchange an increasing amount of information through their earphones.; a new type of input method is required.",,"Music Player, Device Control, Device Input","Earphone, Skin Deformation, Photo Reflective Sensor","In this paper, we propose EarTouch, a new sensing technology for ear-based input for controlling applications by slightly pulling the ear and detecting the deformation by an enhanced earphone device. It is envisioned that EarTouch will enable control of applications such as music players, navigation systems, and calendars as an “eyes-free” interface. As for the operation of EarTouch, the shape deformation of the ear is measured by optical sensors. Deformation of the skin caused by touching the ear with the fingers is recognized by attaching optical sensors to the earphone and measuring the distance from the earphone to the skin inside the ear. EarTouch supports recognition of multiple gestures by applying a support vector machine (SVM). EarTouch was validated through a set of user studies.",33,,https://dl.acm.org/doi/10.1145/3098279.3098538,DONE,,,"Selection, Path",2,X,relative,9,Yes,No,X,Not Present,Not Indicated,Medium (Derived),Not Indicated,Partly Present,32%
[64],Maag et al.,2017,Mouth,In,Tongue,Press,Pressure Sensor,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,"Music Player, Device Input",,,34,,,,,,Selection,2,coarse (3),relative,,Yes,No,,,,,,,
