,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Main Author,Year,Location,Filter,Input Body Part,Gesture,Sensors,No Additional Sensing,Number of Selected Gestures,Resolution,Hands- Free,Eyes- Free,Possible on One Ear,Adaptation of the Interaction Detection Algorithm to the Individual User,Discreetness of Interaction Techniques,Social Acceptability of Interaction Techniques,Accuracy of Interaction Recognition,Robustness of Interaction Detection,Elicitation Study,Usability Evaluations,Cognitive Ease Evaluations,Discreetness of Interactions Evaluations,Social Acceptability of Interactions Evaluations,Accuracy of Interactions Evaluation,Alternative Interaction Validity Evaluations,Evaluation of Different Conditions,Evaluations of Different Settings,Earphone Type,Development Stage,Real-Time Processing,On Device Processing,Motivations (Notes),Motivations,Intended Applications,Keywords,Abstract,DB ID,Study Link,DONE,Discreetness of Interaction Techniques - MK,Social Acceptability of Interaction Techniques - MK,Elemental Task,Degrees of Freedom,Resolution - Alt,Spatial,No. of proposed Semantic Gestures,Discrete,Continuous,Active Feedback,Theoretical Grounding of Interaction Techniques,Usability,"Device 
Appearance","Cognitive 
Ease",Multi-Gesture Detection,Composite Evaluative Score
[23],Manabe & Fukumoto,2011,Ear and Earable,In,Hand,Tap (Earable),Speaker,Yes,2,Semantic,No,Yes,Yes,Yes,Medium,High,High (N=6),Medium (N=6),No,No,No,No,No,Yes (N=6),No,"Sitting, Walking, Walking Stairs, Head Movement, Jumping",Lab,"Earbud, Headphone",Research Prototype,Yes,No,Headphones from input device to input-and-output device,"Expanding Interaction Methods, Enhancing Functionalities of Current Devices","Music Player, Device Control","Headphones, tap, input device, wearable","A tap control technique for headphones is proposed. A simple circuit is used to detect tapping of the headphone shell by using the speaker unit in the headphone as a tap sensor. No additional devices are required in the headphone shell and cable, so the user can use their favorite headphones as a controller while listening music. A prototype is implemented with several calibration processes to compensate the differences in headphones and users' tapping actions. Tests confirm that the user can control a music player by tapping regular headphones.",11,https://doi.org/10.1145/2047196.2047236,DONE,,,Selection,X,X,X,2,Yes,No,Coupled,Partly Present,Not Indicated,Medium (Derived),Not Indicated,Present,54%
[85],Matsumura & Fukumoto,2012,Ear and Earable,Enabling,Wearable State,"Share (Earable), Wear (Earable)","Proximity Sensor, EMG",Yes,2,Semantic,Yes,Yes,No,No,High,High,N/A,N/A,No,No,No,No,No,No,No,N/A,N/A,"Earbud, Headphone",Research Prototype,Yes,Yes,Making traditional interfaces more intelligent,"Expanding Interaction Methods, Enhancing Functionalities of Current Devices",Music Player,"Earphones, implicit interaction, intelligent interface","We present universal earphones that use both a proximity sensor and a skin conductance sensor and we demonstrate several implicit interaction techniques they achieve by automatically detecting the context of use. The universal earphones have two main features. The first involves detecting the left and right sides of ears, which provides audio to either ear, and the second involves detecting the shared use of earphones and this provides mixed stereo sound to both earphones. These features not merely free users from having to check the left and right sides of earphones, but they enable them to enjoy sharing stereo audio with other people.",12,https://dl.acm.org/doi/abs/10.1145/2166966.2167025,DONE,,,,,,,,,,,,,,,,
[62],Sano et al.,2010,Face,In,Facial Expression,Smile,EMG,Yes,1,Semantic,Yes,Yes,Yes,No,Low,Medium,Low (N=3),N/A,No,No,No,No,No,Yes (N=3),No,Sitting,Lab,Earbud,Research Prototype,No,No,"We propose novel ways of interactions using biosignals. We developed a prototype earphone with three kinds of biosignal sensors: pulse wave, electromyogram (EMG) and acceleration sensors. Using this sensor system, we implemented three new applications",,"Music Player, Communication, Data Annotation","wearable sensor, elecromyogram, accelometer, pulse sensor, photoplethysmographm","We propose novel ways of interactions using biosignals. We developed a prototype earphone with three kinds of biosignal sensors: pulse wave, electromyogram (EMG) and acceleration sensors. Using this sensor system, we implemented three new applications - automatic music selection, tactile and visual communication and automatic metadata annotation. We also present results of preliminary subjective and objective evaluations.",13,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=194115d845f69c4ad23430dacc278f99e0cd5dcd,DONE,,,Selection,X,X,X,,Yes,No,,,,,,,
[94],Tessendorf and Derleth,2012,Ear and Earable,In,Hand,Press (Earable),Button,Yes,1,Semantic,No,Yes,Yes,No,Medium,High,N/A,N/A,No,Yes (N=21),Yes (N=21),No,Yes (N=21),No,No,"Walking, Walking Stairs, Head Movement, Jumping",Lab,Custom Device,Research Prototype,Yes,Yes,sensing and annotation device to unobtrusively capture head movements in real life situations; In this context the challenge arises to collect and annotate multimodal reference data to identify hearing situations to be improved and to train the multimodal classifier running within the HI.; unobtrusively capture head movements in real life situations; higher accuracy and saving time for the experimenter,,"Data Annotation, Accessibility",N/A,"In this work we present a newly developed earworn sensing and annotation device to unobtrusively capture head movements in real life situations. It has been designed in the context of developing multimodal hearing instruments (HIs), but is not limited to this application domain. The ear-worn device captures triaxial acceleration, rate of turn and magnetic field and features a one-button-approach for real-time data annotation through the user. The system runtime is over 5 hours at a sampling rate of 128 Hz. In a user study with 21 participants the device was perceived as comfortable and showed a robust hold at the ear. On the example of head acceleration data we perform unsupervised clustering to demonstrate the benefit of head movements for multimodal HIs. We believe the novel technology will help to push the boundaries of HI technology.",14,https://ieeexplore.ieee.org/abstract/document/6346464,DONE,,,Position,X,X,X,1,Yes,No,X,Not Present,High (N=21),Medium (N=21),High (N=21),Not Indicated,55%
[25],Akiyama et al.,2013,Actuation,Enabling,N/A,Thermal (Actuaction),N/A,N/A,1,Fine,Yes,Yes,No,N/A,High,High,N/A,N/A,No,Yes (N=8),No,No,No,No,No,Sitting,Lab,Headphone,Research Prototype,N/A,N/A,"Thermal sense plays a significant role in the human recognition of environments and influences human emotions. By employing thermal sense in the music experience, which also greatly affects human emotions, we have successfully created a new medium with an unprecedented emotional experience.; For these reasons, we believe that thermal sense possesses great potential to enhance emotions.",,"Music Player, AR/VR","Thermal display, Musical interface, Cross-modal interface","This report proposes a thermal media system, ThermOn, which enables users to feel dynamic hot and cold sensations on their body corresponding to the sound of music. Thermal sense plays a significant role in the human recognition of environments and influences human emotions. By employing thermal sense in the music experience, which also greatly affects human emotions, we have successfully created a new medium with an unprecedented emotional experience. With ThermOn, a user feels enhanced excitement and comfort, among other responses. For the initial prototype, headphone-type interfaces were implemented using a Peltier device, which allows users to feel thermal stimuli on their ears. Along with the hardware, a thermal-stimulation model that takes into consideration the characteristics of human thermal perception was designed. The prototype device was verified using two methods: the psychophysical method, which measures the skin potential response and the psychometric method using a Likert-scale questionnaire and open-ended interviews. The experimental results suggest that ThermOn (a) changes the impression of music, (b) provides comfortable feelings, and (c) alters the listener’s ability to concentrate on music in the case of a rock song. Moreover, these effects were shown to change based on the methods with which thermal stimuli were added to music (such as temporal correspondence) and on the type of stimuli (warming or cooling). From these results, we have concluded that the ThermOn system has the potential to enhance the emotional experience when listening to music.",15,https://dl.acm.org/doi/abs/10.1145/2493988.2494326,DONE,,,,,,,,,,,,,,,,
[20],Manabe et al.,2013,Eye-Tracking,In,Eye,Vertical Gaze,EOG,Yes,2,Semantic,Yes,No,No,No,Medium,Medium,N/A,N/A,No,Yes (N=6),No,No,No,No,Yes (N=6),Sitting,Lab,Earbud,Research Prototype,No,No,"In this paper, we focus on an earphone-based eye gesture input interface and propose conductive rubber eartip electrodes suitable for daily-use. Experiments with several prototypes were conducted to compare their characteristics.",,"Music Player, Accessibility","EOG, electrode, conductive rubber, earphone, eye gesture","An eartip made of conductive rubber that also realizes biopotential electrodes is proposed for a daily-use earphonebased eye gesture input interface. Several prototypes, each with three electrodes to capture Electrooculogram (EOG), are implemented on earphones and examined. Experiments with one subject over a 10 day period reveal that all prototypes capture EOG similarly but they differ as regards stability of the baseline and the presence of motion artifacts. Another experiment conducted on a simple eye-controlled application with six subjects shows that the proposed prototype minimizes motion artifacts and offers good performance. We conclude that conductive rubber with mixed Ag filler is the most suitable setup for daily-use.",16,http://dx.doi.org/10.1145/2493988.2494329,DONE,,,Selection,1,coarse (3),relative,,Yes,No,,,,,,,
[1],Lissermann et al.,2014,Ear and Earable,In,Hand,Touch (Ear),Capacitive Sensor,Yes,1,Coarse,No,Yes,Yes,No,Medium,High,N/A,N/A,Yes (N=27),No,No,No,No,No,No,"Sitting, Music",Lab,Custom Device,Research Prototype,Yes,No,decreasing the visual demand of interfaces,Enabling Hands-Free and/or Eyes-Free Control,"Music Player, Device Control, Gaming","Ear-based interaction, ear-worn, mobile interaction, eyes-free, device augmentation, touch, multi-touch","One of the pervasive challenges in mobile interaction is  decreasing the visual demand of interfaces towards eyes-free  interaction. In this paper, we focus on the unique affordances  of the human ear to support one-handed and eyes-free mobile  interaction. We present EarPut, a novel interface concept and  hardware prototype, which unobtrusively augments a variety  of accessories that are worn behind the ear (e.g. headsets  or glasses) to instrument the human ear as an interactive  surface. The contribution of this paper is three-fold. We  contribute (i) results from a controlled experiment with 27  participants, providing empirical evidence that people are  able to target salient regions on their ear effectively and  precisely, (ii) a first, systematically derived design space  for ear-based interaction and (iii) a set of proof of concept  EarPut applications that leverage on the design space and  embrace mobile media navigation, mobile gaming and smart  home interaction.",17,https://dl.acm.org/doi/10.1145/2686612.2686655,DONE,,,"Selection, Position",X,coarse (2-6),X,7,No,Yes,Coupled,Partly Present,Not Indicated,Low (Derived),Not Indicated,Not Indicated,28%
[93],Sahni et al.,2014,Mouth,In,Speech Apparatus,Silent Speech (Words),"Magnetometer, Proximity Sensor",No,11,Semantic,Yes,Yes,No,No,High,High,High (N=6),N/A,No,No,No,No,No,Yes (N=6),No,Sitting,Lab,Custom Device,Research Prototype,No,No,"We address the problem of performing silent speech recognition where vocalized audio is not available (e.g. due to a user’s medical condition) or is highly noisy (e.g. during firefighting or combat).; In contrast, silent speech recognition systems [7] , which utilize parts of the human speech production system (rather than the audio produced), can provide significant benefits for individuals rendered incapable of intelligible speech. Such a system can potentially allow issuing voice commands to computing devices or speech generation through text-to-speech interfaces without audible commands generated by the user.",,"Silent Speech, Accessibility, Device Input","silent speech recognition, wearable computing, mobile interfaces","We address the problem of performing silent speech recognition where vocalized audio is not available (e.g. due to a user’s medical condition) or is highly noisy (e.g. during firefighting or combat). We describe our wearable system to capture tongue and jaw movements during silent speech. The system has two components: the Tongue Magnet Interface (TMI), which utilizes the 3-axis magnetometer aboard Google Glass to measure the movement of a small magnet glued to the user’s tongue, and the Outer Ear Interface (OEI), which measures the deformation in the ear canal caused by jaw movements using proximity sensors embedded in a set of earmolds. We collected a data set of 1901 utterances of 11 distinct phrases silently mouthed by six able-bodied participants. Recognition relies on using hidden Markov modelbased techniques to select one of the 11 phrases. We present encouraging results for user dependent recognition.",18,https://dl.acm.org/doi/10.1145/2634317.2634322,DONE,,,"Selection, Text",X,X,X,11,Yes,No,X,Not Present,Not Indicated,Low (Derived),Not Indicated,Present,23%
[7],Bedri et al.,2015,Mouth,Enabling,Jaw,General Jaw Movement,Proximity Sensor,Yes,1,Fine,Yes,Yes,Yes,No,Medium,Medium,N/A,N/A,No,Yes (N=27),No,No,No,No,No,"Sitting, Speaking, Eating, Walking, Walking Stairs",Lab,Earbud,Research Prototype,No,No,Researchers tried to benefit from the features that headphones and earpieces hold to develop systems that will help monitoring human activities.; The motivation behind OEI was the ability to perform silent speech recognition by classifying motion patterns made by the tongue and lower jaw; Socially acceptable.  2. Comfortable of use for extended periods of time.  3. Non-intrusive (no persing or implantation).  4. Ease of donning and disrobing.,,"Silent Speech, Activity Recognition","Outer ear, jaw motion, proximity sensor, silent speech, food intake, jaw gestures","The human ear seems to be a rigid anatomical part with no apparent activity, yet many facial and body activity can be measured from it. Research apparatuses and commercial products have demonstrated the capability of monitoring hart rate, tongue activities, jaw motion and eye blinking from the ear. In this paper we describe the design and the implementation of the Outer Ear Interface (OEI) which utilizes a set of infrared proximity sensors to measure the deformation in the ear canal caused by the lower jaw movement. OEI has been used in different applications that requires tracking of jaw activity which includes silent speech recognition, jaw gesture detection and food intake monitoring.",19,https://dl.acm.org/doi/10.1145/2800835.2807933,DONE,,,,,,,,,,,,,,,,
[190],Bleichner et al.,2015,"Brain, Eye-Tracking",In,Eye,"Horizontal Gaze, Vertical Gaze",EEG,Yes,2,Coarse,Yes,No,Yes,No,Medium,Medium,High (N=12),N/A,No,No,No,No,No,Yes (N=12),No,Sitting,Lab,Custom Device,Research Prototype,Yes,No,"This study evaluates the signal quality obtained with an unobtrusive solution for EEG monitoring through the integration of miniaturized EEG ton-electrodes into both a discreet baseball cap and an individualized ear piece. We show that such mini electrodes located at scalp and ear locations can reliably record event related potentials in a P300 brain–computer–interface application.; Aiming toward concealed EEG recordings, we integrated identical miniaturized EEG electrodes into a baseball cap, into individualized silicone earpieces (Fig. 1) and placed additional electrodes behind and above the ear.; Our main goal was to investigate whether recordings taken from locations in and around the ear can be used for ERP recording and BCI.",,BCI-Application,"Ear EEG, miniaturized, P300 speller, ton-electrodes","Electroencephalography (EEG) allows the study of the brain–behavior relationship in humans. Most of what we have learned with EEG was through observing the brain–behavior relationship under well-controlled laboratory conditions. However, by reducing “normal” behavior to a minimum the ecological validity of the results can be limited. Recent developments toward mobile EEG solutions allow to study the brain–behavior relationship outside the laboratory in more natural situations. Besides mobility and robustness with respect to motion, mobile EEG systems should also interfere as little as possible with the participant’s behavior. For example, natural interaction with other people could be hindered when it is obvious that a participant wears an EEG cap. This study evaluates the signal quality obtained with an unobtrusive solution for EEG monitoring through the integration of miniaturized EEG ton-electrodes into both a discreet baseball cap and an individualized ear piece. We show that such mini electrodes located at scalp and ear locations can reliably record event related potentials in a P300 brain–computer–interface application.",20,https://physoc.onlinelibrary.wiley.com/doi/full/10.14814/phy2.12362,DONE,,,,,,,,,,,,,,,,
